CBRNIAC_Number	AD_Number	Site_Holding	Title	Author(s)	Report_Number	Publish_Date	Corp_Author_Name	Distribution_Statement	Document_Classification
CB-013350	326988	CB DT DW 36455	Review of Air-borne Infections Acquired in the Laboratory. Technical Study No. 39, December 1961.	Wedum, Arnold G.	BL-TS-39	1961-12-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution Controlled. All requests for this document shall be referred to US Army	C
CB-013360	322394	CB DT DW 35058 EDG E499420	Method of Preparing and Testing Stock Cultures of Pasteurella tularensis.	Orlando, Michael D. Weirether, Francis J.	BL-TM-2-43 60-FDS-1558	1961-02-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution authorized to US Gov't agencies and their contractors. Other requests for this	C
CB-013361	324846	CB DT DW 503802	Modification of Process to Improve UL2.	Shatto, Paul F.	BL-TM-2-48 61-FDS-1162	1961-08-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors. Other requests for this	C
CB-013368	322676	CB DT DW 40170 DW 540841	Aerosol Stability and Virulence of Pasteurella tularensis at High Relative Humidity.	Pirsch, Gerda W. Day, William C. Bailey, Ruth R. McDermott, Eugene P.	ABL-TM-9-23	1961-03-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution authorized to US Gov't agencies and their contractors. Other requests for this	C
CB-013369	326618	CB DT DW 540842 DW 63036	Effect of Inositol on the Aerosol Stability and Virulence of Pasteurella tularensis at Varying Relative	Day, William C. Pirsch, Gerda W. Bailey, Ruth R. McDermott, Eugene P.	ABL-TM-9-33	1961-11-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution Controlled. All requests for this document shall be referred to US Army	C
CB-013474	268224	CB DT DW 518753	Seventy-two Hour Outdoor Wearing Trial of Individual CBR Protective Clothing With M17 Mask and E33	Davy, Earl Bird, E. Cummings, E. G. Marrero, J.	CRDRL-3097	1961-09-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors;	U
CB-017232	267067	CB DT DW 503607	Plant Design for Large-Scale Production of Pentavalent Botulinum Toxoid.	Abelow, Ira	ENCR-50	1961-06-01	US ARMY CHEMICAL CORPS ENGINEERING COMMAND ARMY CHEMICAL	Distribution limited to US Gov't agencies and their contractors.	U
CB-018261	265487	CB DT DW 534584	Surface Chemical Methods of Dispacing Water and/or Oils and Salvaging Flooded Equipment, Part 2, Field	Baker, H. R. Leach, P. B. Singleterry, C. R.	NRL-5680	1961-09-19	NAVAL RESEARCH LAB WASHINGTON DC	Approved for Public Release; Distribution Unlimited.	U
CB-020415	250121	CB DT DW 508916	Special Engineering Testing of the Quartermaster Corps Acid and Fuel Resistant Ensemble.		TR-250	1961-01-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies and their contractors.	U
CB-020458	286721	CB DT DW	Development and Evaluation of Chemically Resistant Butyl Blended Coated Fabrics.	Siegfried, A. M.	NAVSUPRANDFA-CATD-62	1961-12-01	NAVAL SUPPLY RESEARCH AND DEVELOPMENT FACILITY BAYONNE N J	Distribution limited to US Gov't agencies and their contractors.	U
CB-020485	273039	CB DT DW 518752	Final Engineering Test of E15R2 Impregnite-in-Clothing Testing Kit.	Mahony, John F. Johnson, William C.	3095	1961-10-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Approved for Public Release; Distribution Unlimited.	U
CB-020638	323034	CB DT DW 505413 EDG E506349	Study of Methods for the Detection of Chemical Warfare Agents. Bimonthly Progress Report No. 5, 1	Levinson, S. B. Robey, P.	BMPR-5	1961-02-01	LITTER (D H) CO INC NEW YORK	Distribution limited to US Gov't agencies and their contractors.	U
CB-020639	323986	CB DT DW 505412	Study of Methods for the Detection of Chemical Warfare Agents.	Robey, Paul Levinson, Sidney B.		1961-05-01	LITTER (D H) CO INC NY	Distribution limited to US Gov't agencies and their contractors.	C
CB-020708	504655	CB DT DW 535772	Chemical and Biological Materiel Characteristics; Blue Forces.		CCB-1-62	1961-12-01	CHEMICAL CORPS BOARD ARMY CHEMICAL CENTER MD	Distribution limited to US Gov't agencies only; 13 May 1973. Other requests for this	S
CB-022062	325159	CB DT DW 36068 DW 502653	Experimental Operating Procedure used for Pilot-scale Production of an Improved UL2.		61-FDS-1222	1961-09-01	ARMY BIOLOGICAL LABS FREDERICK MD	Further dissemination only as directed by US Army Biological Laboratories, Fort Detrick,	C
CB-022178	596113	CB DT DW 500166	Biological Field Evaluation of the Modified Navy Spray Tank, Phase A.		DPG-TR-312 DPG-61-1132	1961-06-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1977. Other	U
CB-022268	596050	CB DT DW 500100	Entomological Field Test Technology BELLWETHER-II, BIO 531.		DPGR-293	1961-12-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 77. Other	U
CB-022270	596115	CB DT DW 500531	Source Strength Determinations and Downwind Travel Studies with OU-2 Simulant, Phase B, Trials 1-4, Bio		DPG-TR-314	1961-06-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1977. Other	U
CB-022391	596112	CB DT DW 536270	BW Field Evaluation of the EDO Spray System, Phase A, Trials 31-35, BW 446.		DPG-TR-310 DPG-61-0502	1961-03-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Proprietary Information; 21 Aug 1972.	C
CB-022527	354205	CB DT DW 512267 DW 537127	Summary and Evaluation of Chemical Spray Trials. Volume 2: Bibliography.	King, D. W. Ward, R. M.	TR-61-1B-VOL-2	1961-08-31	C-E-I-R INC BEVERLY HILLS CA	Distribution limited to US Gov't agencies and their contractors;	U
CB-022530	268635	CB DT DW 501496	Microbiological Safety in US and Foreign Laboratories. Technical Study No. 35, September 1961.	Phillips, G. Briggs	TS-35	1961-09-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-022551	327532	CB DT DW 535716	Survey and Analysis of Prospects for C-B Research and Development.		PRC-R-175	1961-07-01	PLANNING RESEARCH CORP LOS ANGELES CA	Distribution limited to DoD agencies only.	C
CB-022559	328670	CB DT DW 36123 EDG E505245	Non-lethal BW/CW Study. Volume 4. Final BW Agent Selection.		61-FDS-833 61WWR-3211 AF-SR-17516 OR-1649-VOL-4	1961-06-01	MARTIN CO ORLANDO FL	Distribution Controlled. All requests for this document shall be referred to Aeronautical	C
CB-022562	328671	CB DT DW 36124 EDG E505246	Non-lethal BW/CW Study. Volume 5. Semifinal BW Agent Selection.		61-FDS-834 61WWR-3211 DTC-72-1142 OR-1649-VOL-5	1961-06-01	MARTIN CO ORLANDO FL	Distribution Controlled. All requests for this document shall be referred to Aeronautical	C
CB-022563	327533	CB DT DW 535717	Survey and Analysis of Prospects for C-B Research and Development. Final Report, Volume 2, 1 April 1960-	Birkeland, L. F. Eliel, L. F. Hudson, G. R. Mitchell, W. B. Patton, D. D.	PRC-R-175-VOL-2	1961-07-01	PLANNING RESEARCH CORP LOS ANGELES CA	Further dissemination only as directed by the Commander, US Army Chemical Command,	C
CB-022564	326254	CB DT DW 36316	XYA-1817. Technical Report No. 36, October 1961.	Patrick, William C., III Davis, Jack L. Christopher, Weldon W.	BL-TR-36 61-FDS-1221	1961-10-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution authorized to US Gov't agencies and their contractors.	C
CB-022569	328672	CB DT DW 36125 EDG E505247	Non-lethal BW/CW Study. Volume 6. BW Agent Catalog.		61-FDS-835 DTC-72-1237 61-WWR-3211 OR-1649-VOL-6 CRDL-TL-61-5-935	1961-06-01	MARTIN CO ORLANDO FL	Distribution Controlled. All requests for this document shall be referred to Aeronautical	C
CB-022570	323149	CB DT DW 35480	Development Testing of the E134 Bomblet. Technical Memorandum No. 2-47, May 1961.	Bentley, Frederick, Jr. Greene, R. G.	BL-TM-2-47 61-FDS-502 IS-64-6-188 DPG-61-1040	1961-05-01	ARMY BIOLOGICAL LABS FREDERICK MD	Further dissemination only as directed by US Army Chemical Corps, Biological	C
CB-022571	328683	CB DT DW 508359	Nonlethal BW/CW Weapon Systems. Volume 4. Nonlethal BW Agent Studies. Final Report, 1 June 1961.		MSD-251-950-4-345 61-FDS-813-1 61-WWR-3209	1961-06-01	REPUBLIC AVIATION CORP MINEOLA NY	Distribution Controlled. All requests for this document shall be referred to Wright Air	C
CB-022639	896502	CB DT DW 505908 DW 509332	Final Engineering Testing of E33R2 Protective Hood.		DPG-TM-1053	1961-01-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 21 Sep 1972. Other	U
CB-022668	270616	CB DT DW	Library Document List No. 542, Item Numbers 63, 572-63, 794 Incl.			1961-11-17	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-022669	263518	CB DT DW	Library Document List No. 537 (Unclassified Section) Item Numbers 61, 637-61,819 Incl.			1961-08-11	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-022768	252283	CB DT DW 62010	Air Filtration of Microbial Particles.	Buchanan, Lee M. Decker, Herbert M.	TS-31	1961-02-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-022821	311151	CB DT DW 505439	Title Classified.	Hiser, J. W.	R280-009	1961-02-24	FAIRCHILD STRATOS CORP HAGERSTOWN MD AIRCRAFT-MISSILES DIV	Distribution limited to DoD agencies only. Other requests for this document shall be	C
CB-022940	265825	CB DT DW 64045	Spray Dryer Experimental Operating Procedures.	Cresap, George F. Kource, Andrew, Jr.		1961-10-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies only; Administration/Operational Use; Oct	U
CB-022958	267918	CB DT DW 64046	Operating Procedures for Freeze-drying with the NRC Tray Dryer System. Technical Manual, November	Shirey, William N. Dashiell, Thomas R. Murphy, Marshall, Jr.		1961-11-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors;	U
CB-022977	255876	CB DT DW 63005	Evaluation of M17 Field Protective Mask Under Simulated Field Conditions.	Guyton, Gerald H.	TM-1-9	1961-05-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-023386	261142	CB DT DW 62012	Rift Valley Fever. A Review of the Literature.	Murphy, Leslie C. Runnels, Johnnie L.	BL-TS-33	1961-07-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-023390	256577	CB DT DW 63031	Studies on the Aerosol Stability of the Trinidad and Colombian Strains of Venezuelan Equine	Day, William C. Pirsch, Gerda W. Bailey, Ruth R. McDermott, Eugene	ABL-TM-9-26	1961-04-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-023391	276499	CB DT DW 500693 EDG E502924	Further Analysis of Windsoc Data.	Smith, T. B. Wolf, M. A.	61-FR-24	1961-11-01	METEOROLOGY RESEARCH INC PASADENA CALIF	Approved for Public Release; Distribution Unlimited.	U
CB-023769	369744	CB DT DW F00226	Gladeye Program.	McKinley, Larry E.	NOTS-TP-2762 TPR-266	1961-10-06	NAVAL ORDNANCE TEST STATION CHINA LAKE CA	Distribution limited to US Gov't agencies and their contractors;	U
CB-023786	374242	CB DT DW 44873 EDG E499092	Evaluation of Incendiary Torch with Demilitarization Chamber on Chemical and Biological Bomblets.	Norton, William A.	EODR-115	1961-12-27	NAVAL EXPLOSIVE ORDNANCE DISPOSAL FACILITY INDIAN HEAD MD	Distribution limited to US Gov't agencies and their contractors. Other requests for this	C/NOFORN
CB-023805	801504	CB DT DW 36069	Studies on Bacillus Anthracis. Annual Report, January 1961.			1961-01-01	ARMY MEDICAL UNIT FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-023813	381950	CB DT DW 536765	Project Wasp Evaluation Report. Volume 1, Summary.	Delmore, Fred J.	CAL-GM-1494-G-5 DPG-62-0166	1961-09-01	ARMY CHEMICAL CORPS RESEARCH AND DEVELOPMENT COMMAND	Further dissemination only as directed by Commanding General, Army Chemical Corps	C/NOFORN
CB-023815	328668	CB DT DW 36122	Non-lethal Weapon BW/CW Study. Volume 2. Operations Analysis.		61WWR-3211 61-FDS-831 DTC-72-1140 OR-1649-VOL-2	1961-06-01	MARTIN CO ORLANDO FL	Distribution Controlled. All requests for this document shall be referred to Aeronautical	C
CB-024099	223860	CB DT DW 519482	The Psychopolitical Implications of Biological and Chemical Warfare.			1961-04-05	PENNSYLVANIA UNIV INSTITUTE FOR COOPERATIVE RESEARCH	Distribution limited to US Gov't agencies and their contractors.	U
CB-024161	252412	CB DT DW 63010	Freeze Drying -- Theoretical Considerations and Application.	Cartier, Raymond M. Dashiell, Thomas R. Clancy, Jackson O., III	BL-TM-2-40	1961-01-01	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-024378		CB DT	Techniqes of Areosol Formation.	Zentner, Robert J.		1961-09-01	FORT DETRICK FREDERICK MD	Approved for Public Release; Distribution Unlimited. Availability: Bacteriological	U
CB-024504	256278	CB DT DW 506539	Compatibility of GB and VX Agents with RDX, Tetryl, Composition B and 70/30 Tetrytol.	Lowell, Stanley J. Schimmel, Robert T.	ORDBB-DR4-41	1961-04-01	PICATINNY ARSENAL DOVER NJ AMMUNITION GROUP	Distribution limited to US Gov't agencies and their contractors.	U
CB-024744		CB	BW Agent Symbols.	Eckert, T.S.		1961-08-09	FORT DETRICK FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-024912		CB	Quantitative Characterization of Aerosols.	Wolfe, Elwood K., Jr.		1961-09-01	BIOLOGICAL LABORATORIES FORT DETRICK FREDERCK MD	Approved for Public Release; Distribution Unlimited. Availability: Bacteriological	U
CB-025267	498330	CB DT DW TE1534	Demilitarization of BG Filled E-134.	Miller, William S.	TEST-A-1534 61-TE-1534	1961-12-08	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1989. Other	U
CB-025494	594424	CB DT DW TE1433	The Effect of Using Different Bonding Adhesives in the E134 Assembly on the Aerosol Recoveries of Wet	Jemski, Joseph V.	TEST-A-1433	1961-05-08	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOGY DIV	Further dissemination only as directed by Commander, US Army Dugway Proving	U
CB-025497	594416	CB DT DW TE1408	Comparisons Among Standard Lot and Three Experimental Lots of DBO UL.	Miller, William S.	TEST-A-1408	1961-06-06	FORT DETRICK FREDERICK MD	Distribution Controlled. All requests for this document shall be referred to Commanding	U
CB-025498	497628	CB DT DW TE1425	Respiratory Challenge with an Attenuated Strain of Pasteurella tularensis (Live Vaccine Strain).	Jemski, Joseph V.	TEST-A-1425 61-TE-1425	1961-06-26	FORT DETRICK FREDERICK MD APPLIED AEROBIOLOBY DIV	Distribution Controlled. All requests for this document shall be referred to Commanding	U
CB-025650	323179	CB DT DW 535803 EDG E500963	Fourth Consolidated Report on Dissemination of Biological and Chemical Warfare Agents.	Livingstone, H. A.	NAVORD-6954-REV-1 NAVWEPS-6954 DPG-61-1014	1961-03-31	NAVAL WEAPONS PLANT WASHINGTON DC	Distribution Controlled. All requests for this document shall be referred to Bureau of	U
CB-025815	287100	CB DT DW 38417	In vivo Effects of Bacillus Anthracis Lethal Factor.			1961-09-01	CINCINNATI UNIV OH	Distribution limited to US Gov't agencies and their contractors.	U
CB-025846		CB DW 536949 EDG E495492	Small Scale, Field Determination of UL Biological Decay Rate.	Stricklett, Ronald D.	DPG-TP-515 DPG-61-2621	1961-11-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C/COMSEC
CB-025847		CB EDG E499702	BW Field Evaluation of the Modified Navy Spray Tank, Phase B.	Kendall, Reginald	DPG-TP-566	1961-01-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C
CB-025896		CB DW 535453 EDG E504055	The CBR Situation, 1961.			1961-01-01	OFFICE OF THE CHIEF CHEMICAL OFFICER (ARMY) WASHINGTON DC	Distribution limited to DoD agencies only. NOFORN. This document contains export-	C/NOFORN
CB-026080	730905	CB DT DW 515052	The Effect of Personality on Reactivity to a Tetrahydrocannabinol.	Klapper, Jack A. Mccolloch, Michael A. Sidell, F. R.	EATR-4554	1961-09-01	EDGEWOOD ARSENAL ABERDEEN PROVING GROUND MD	Approved for Public Release; Distribution Unlimited.	U
CB-026291		CB	List of CBR References for US Army CBR Weapons Orientation Course.			1961-03-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies and their contractors.	U
CB-028145	326378	CB DT DW 536292	Wound Ballistics of High-velocity Flechettes for Hand-held Weapons.	Downing, T. O. Dziemian, Arthur J. Krauss, Max Light, F. W., Jr. McDonald, Walter C.	CRDLR-3091	1961-10-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Further dissemination only as directed by Army Chemical Research and Development	C
CB-038989		CB DW 36479 DW 536326 EDG E498032	US Army Chemical Corps Advisory Council, Newsletter No. 106, 20 December 1961.	Vogt, Tyree C.	NL-106 DPG-62-0098 AC-61-S-82	1961-12-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	U
CB-039033		CB DW 536336 EDG E498031	US Army Chemical Corps Advisory Council, Newsletter No. 95, 20 January 1961.	Vogt, Tyree C.	NL-95	1961-01-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	U
CB-039492		CB	Growth of Listeria Monocytogenes in Defined Media.	Friedman, Mischa E. Roessler, William G.		1961-04-07	FORT DETRICK FREDERICK MD	Approved for Public Release; Distribution Unlimited. Availability: Journal of	U
CB-039495		CB	Growth of the Venezuelan Equine Encephalomyelitis Virus in L Cells. II. Growth in Submerged Culture.	Hardy, Frank M. Brown, Arthur		1961-03-27	FORT DETRICK FREDERICK MD	Approved for Public Release; Distribution Unlimited. Availability: Journal of	U
CB-039667		CB	Influence of Guinea Pig Plasma Factors on Phagocytosis of Pasteurella pestis. 2. Plasma from Plague-infected	Stanziale, W. G. White, J. D.		1961-08-01	FORT DETRICK FREDERICK MD	Approved for Public Release; Distribution Unlimited. Availability: Journal of	U
CB-039691		CB	Influence of Guinea Pig Plasma Factors on Phagocytosis of Pasteurella pestis. 1. Plasma from Normal Guinea	Stanziale, W. G. White, J. D.		1961-08-01	FORT DETRICK FREDERICK MD	Approved for Public Release; Distribution Unlimited. Availability: Journal of	U
CB-040070	896604	CB DT DW 503579	Environmental Field Tests: Grenade, Hand, Irritant, CN-DM, E17R1.		DPG-R-278	1961-11-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 19 Sep 1972. Other	U
CB-040071	896602	CB DT DW 500066	Environmental Test of Kit, Detector, Chemical Agent, M9A2.		DPG-R-280	1961-05-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 19 Sep 1972. Other	U
CB-040085	896573	CB DT DW 500122	Final Engineering Testing of E1 Trailer Mounted, Nike-hercules Vans, Collective Protection Equipment.		DPG-R-274	1961-02-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 19 Sep 1972. Other	U
CB-040093	896561	CB DT DW 500121	CBR Testing of Receiver Set Collective Protector System.		DPG-R-284	1961-04-18	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 19 Sep 1972. Other	U
CB-040150	896500	CB DT DW 500386	Chemical Corps Environmental Field Test Regime.		DPG-TM-1051	1961-07-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 21 Sep 1972. Other	U
CB-040268	896372	CB DT DW 500368	Dry Particulate Compaction Studies, BW 560.		DPG-TM-1046	1961-04-01	ARMY DUGWAY PROVING GROUND UT	Distribution Limited to US Gov't agencies only; Test and Evaluation; 21 Sep 1972. Other	U
CB-040359	895966	CB DT DW 36296	Investigation of Microbial Contamination Inside Cured Solid Propellant.	Portner, Dorothy M.		1961-11-08	FORT DETRICK FREDERICK MD	Distribution limited to US Gov't agencies and their contractors; Test and Evaluation; 1	U
CB-040420	875100	CB DT DW 701658	Investigation of Corrosion and Microbiological Degradation in Integral Fuel Tanks.	Ericson, G. Lee Wulf, Margaret L.	D3-3629-REV-A	1961-02-27	BOEING CO WICHITA KANS WICHITA DIV	Distribution limited to DoD agencies only. Other requests for this document shall be	U
CB-040455	843904	CB DT DW	Journal Articles January-December 1960.	Skenzick, Electa P.	CRDL-SPECIAL PUB-4-30	1961-05-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors;	U
